"C_NO","SITE_CONTENT","SITE","PET_YN"
7732,"글램핑시설(15면)",15,"N"
3333,"일반야영장(5면) 자동차야영장사이트(40면)",45,"Y"
8060,"자동차야영장사이트(14면)",14,"N"
7735,"일반야영장(20면)",20,"N"
7862,"자동차야영장사이트(13면)",13,"Y"
7228,"일반야영장(42면)",42,"N"
3339,"일반야영장(40면)",40,"N"
3340,"일반야영장(26면)",26,"N"
7438,"",0,"N"
7230,"일반야영장(20면) 자동차야영장사이트(20면)",40,"N"
100062,"카라반(6면)",6,"Y"
3344,"",0,"N"
3345,"일반야영장(15면) 글램핑시설(5면) 개인카라반사이트(20면)",40,"Y"
3346,"글램핑시설(10면)",10,"N"
3347,"",0,"N"
3348,"일반야영장(61면)",61,"N"
628,"글램핑시설(11면)",11,"N"
3350,"글램핑시설(30면)",30,"N"
3351,"글램핑시설(28면)",28,"N"
3352,"",0,"N"
3353,"자동차야영장사이트(20면) 글램핑시설(7면)",27,"N"
7646,"일반야영장(14면)",14,"N"
6948,"",0,"N"
3357,"",0,"N"
100332,"자동차야영장사이트(14면)",14,"N"
3358,"일반야영장(13면)",13,"N"
3361,"일반야영장(42면)",42,"Y"
100621,"",0,"Y"
7737,"자동차야영장사이트(27면)",27,"Y"
3369,"일반야영장(30면)",30,"N"
3370,"자동차야영장사이트(29면) 개인카라반사이트(5면)",34,"N"
3373,"",0,"N"
7601,"",0,"N"
3375,"",0,"N"
100636,"카라반(8면)",8,"Y"
3376,"자동차야영장사이트(31면)",31,"N"
7962,"카라반(13면)",13,"Y"
3383,"",0,"N"
3384,"일반야영장(30면)",30,"N"
3386,"일반야영장(40면) 글램핑시설(16면)",56,"N"
3389,"자동차야영장사이트(86면) 카라반(9면) 개인카라반사이트(6면)",101,"N"
3391,"일반야영장(50면)",50,"N"
3394,"자동차야영장사이트(86면) 개인카라반사이트(8면)",94,"N"
3392,"일반야영장(22면) 글램핑시설(10면) 카라반(15면)",47,"N"
7846,"카라반(4면) 개인카라반사이트(24면)",28,"Y"
3395,"",0,"N"
3397,"일반야영장(150면) 글램핑시설(5면)",155,"N"
3408,"일반야영장(67면)",67,"N"
1930,"일반야영장(132면) 자동차야영장사이트(30면) 글램핑시설(5면) 카라반(3면)",170,"Y"
3409,"일반야영장(15면)",15,"Y"
7811,"일반야영장(6면)",6,"N"
3412,"일반야영장(6면) 자동차야영장사이트(6면) 글램핑시설(23면)",35,"N"
100285,"자동차야영장사이트(14면)",14,"N"
8004,"일반야영장(15면)",15,"Y"
3415,"",0,"N"
7409,"",0,"N"
3417,"일반야영장(34면) 글램핑시설(2면)",36,"N"
3419,"자동차야영장사이트(70면)",70,"N"
3421,"자동차야영장사이트(15면) 카라반(4면)",19,"N"
3423,"자동차야영장사이트(105면) 카라반(58면)",163,"N"
7970,"일반야영장(12면)",12,"Y"
3428,"자동차야영장사이트(40면)",40,"N"
3429,"자동차야영장사이트(48면)",48,"N"
7777,"일반야영장(14면)",14,"N"
3431,"자동차야영장사이트(28면) 개인카라반사이트(12면)",40,"N"
8045,"자동차야영장사이트(24면)",24,"N"
3434,"개인카라반사이트(21면)",21,"N"
